nohup: ignoring input
Processing sample: SBCC056
Running GATK HaplotypeCaller for SBCC056
13:56:37.776 WARN  GATKReadFilterPluginDescriptor - Redundant enabled filter (NotSecondaryAlignmentReadFilter) is enabled for this tool by default
13:56:37.797 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardAnnotation) is enabled for this tool by default
13:56:37.969 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/contrera/soft/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:56:38.253 INFO  HaplotypeCaller - ------------------------------------------------------------
13:56:38.254 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.3.0.0
13:56:38.255 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
13:56:38.255 INFO  HaplotypeCaller - Executing as hamzaamhal@selva on Linux v6.1.0-23-amd64 amd64
13:56:38.255 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v17.0.11-internal+0-adhoc..src
13:56:38.256 INFO  HaplotypeCaller - Start Date/Time: May 22, 2025 at 1:56:37 PM CEST
13:56:38.256 INFO  HaplotypeCaller - ------------------------------------------------------------
13:56:38.256 INFO  HaplotypeCaller - ------------------------------------------------------------
13:56:38.258 INFO  HaplotypeCaller - HTSJDK Version: 3.0.1
13:56:38.258 INFO  HaplotypeCaller - Picard Version: 2.27.5
13:56:38.259 INFO  HaplotypeCaller - Built for Spark Version: 2.4.5
13:56:38.259 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:56:38.259 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:56:38.260 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:56:38.260 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:56:38.260 INFO  HaplotypeCaller - Deflater: IntelDeflater
13:56:38.261 INFO  HaplotypeCaller - Inflater: IntelInflater
13:56:38.261 INFO  HaplotypeCaller - GCS max retries/reopens: 20
13:56:38.261 INFO  HaplotypeCaller - Requester pays: disabled
13:56:38.261 INFO  HaplotypeCaller - Initializing engine
13:56:38.579 INFO  HaplotypeCaller - Done initializing engine
13:56:38.584 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
13:56:38.605 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to -0.0 for reference-model confidence output
13:56:38.605 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
13:56:38.633 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/home/contrera/soft/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:56:38.637 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/home/contrera/soft/gatk-4.3.0.0/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:56:38.667 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:56:38.669 INFO  IntelPairHmm - Available threads: 1
13:56:38.669 INFO  IntelPairHmm - Requested threads: 7
13:56:38.669 WARN  IntelPairHmm - Using 1 available threads, but 7 were requested
13:56:38.670 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:56:38.764 INFO  ProgressMeter - Starting traversal
13:56:38.765 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
13:56:39.947 WARN  DepthPerSampleHC - Annotation will not be calculated at position chr1H_0:4121 and possibly subsequent; genotype for sample SBCC056 is not called
13:56:39.948 WARN  StrandBiasBySample - Annotation will not be calculated at position chr1H_0:4121 and possibly subsequent; genotype for sample SBCC056 is not called
13:56:39.959 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr1H_0:4121 and possibly subsequent; at least 10 samples must have called genotypes
13:56:49.917 INFO  ProgressMeter -        chr1H_0:85195              0.2                   370           1990.9
13:57:02.521 INFO  ProgressMeter -       chr1H_0:135760              0.4                   570           1439.7
13:57:14.349 INFO  ProgressMeter -       chr1H_0:153437              0.6                   680           1146.6
13:57:26.750 INFO  ProgressMeter -       chr1H_0:163245              0.8                   760            950.3
13:57:38.065 INFO  ProgressMeter -       chr1H_0:180072              1.0                   860            870.2
13:57:48.437 INFO  ProgressMeter -       chr1H_0:429594              1.2                  2010           1731.0
13:57:58.544 INFO  ProgressMeter -       chr1H_0:581883              1.3                  2580           1940.4
13:58:10.091 INFO  ProgressMeter -       chr1H_0:586446              1.5                  2600           1708.2
13:58:21.439 INFO  ProgressMeter -       chr1H_0:606454              1.7                  2720           1589.5
13:58:32.218 INFO  ProgressMeter -       chr1H_0:608845              1.9                  2730           1443.8
13:58:53.865 INFO  ProgressMeter -       chr1H_0:670310              2.3                  2980           1323.5
13:59:04.435 INFO  ProgressMeter -       chr1H_0:810884              2.4                  3700           1524.0
13:59:16.399 INFO  ProgressMeter -      chr1H_0:1157654              2.6                  4970           1891.7
13:59:28.998 INFO  ProgressMeter -      chr1H_0:1475102              2.8                  6100           2150.0
13:59:39.182 INFO  ProgressMeter -      chr1H_0:1494902              3.0                  6190           2058.6
13:59:50.003 INFO  ProgressMeter -      chr1H_0:1552568              3.2                  6480           2033.1
14:00:00.573 INFO  ProgressMeter -      chr1H_0:1601327              3.4                  6700           1992.0
14:00:12.431 INFO  ProgressMeter -      chr1H_0:1727258              3.6                  7300           2049.9
14:00:22.662 INFO  ProgressMeter -      chr1H_0:1763306              3.7                  7500           2009.9
14:00:33.424 INFO  ProgressMeter -      chr1H_0:2085682              3.9                  8920           2280.8
14:00:43.932 INFO  ProgressMeter -      chr1H_0:2191759              4.1                  9440           2310.3
14:00:54.455 INFO  ProgressMeter -      chr1H_0:2264011              4.3                  9740           2285.6
14:01:04.852 INFO  ProgressMeter -      chr1H_0:2269198              4.4                  9780           2205.3
14:01:18.026 INFO  ProgressMeter -      chr1H_0:2303560              4.7                  9930           2133.5
14:01:28.509 INFO  ProgressMeter -      chr1H_0:2324436              4.8                 10020           2074.9
14:01:41.666 INFO  ProgressMeter -      chr1H_0:2391774              5.0                 10300           2040.3
14:01:52.670 INFO  ProgressMeter -      chr1H_0:2402712              5.2                 10370           1982.1
14:02:03.552 INFO  ProgressMeter -      chr1H_0:2565971              5.4                 11080           2046.9
14:02:13.557 INFO  ProgressMeter -      chr1H_0:2581091              5.6                 11160           2000.0
14:02:23.557 INFO  ProgressMeter -      chr1H_0:2615140              5.7                 11320           1969.9
14:02:34.261 INFO  ProgressMeter -      chr1H_0:2771347              5.9                 11900           2008.5
14:02:44.347 INFO  ProgressMeter -      chr1H_0:2903988              6.1                 12480           2048.2
14:02:55.298 INFO  ProgressMeter -      chr1H_0:3193633              6.3                 13630           2171.9
14:03:13.556 INFO  ProgressMeter -      chr1H_0:3262222              6.6                 13960           2121.6
14:03:25.902 INFO  ProgressMeter -      chr1H_0:3336499              6.8                 14300           2107.4
14:03:43.310 INFO  ProgressMeter -      chr1H_0:3638139              7.1                 15460           2184.9
14:03:54.198 INFO  ProgressMeter -      chr1H_0:3639740              7.3                 15470           2131.7
14:04:05.306 INFO  ProgressMeter -      chr1H_0:4325684              7.4                 17780           2389.0
14:04:18.609 INFO  ProgressMeter -      chr1H_0:4384315              7.7                 18030           2352.5
14:04:31.009 INFO  ProgressMeter -      chr1H_0:4395486              7.9                 18090           2298.4
14:04:46.245 INFO  ProgressMeter -      chr1H_0:4407701              8.1                 18160           2235.2
14:04:57.912 INFO  ProgressMeter -      chr1H_0:4420435              8.3                 18230           2191.3
14:05:09.203 INFO  ProgressMeter -      chr1H_0:4427242              8.5                 18270           2147.6
14:05:19.276 INFO  ProgressMeter -      chr1H_0:4503457              8.7                 18650           2149.8
14:05:29.341 INFO  ProgressMeter -      chr1H_0:4734582              8.8                 19500           2205.2
14:05:39.809 INFO  ProgressMeter -      chr1H_0:4886394              9.0                 20090           2227.9
14:05:51.753 INFO  ProgressMeter -      chr1H_0:4945447              9.2                 20440           2217.8
14:06:03.869 INFO  ProgressMeter -      chr1H_0:5040486              9.4                 20870           2215.9
14:06:14.325 INFO  ProgressMeter -      chr1H_0:5104279              9.6                 21230           2213.1
14:06:26.351 INFO  ProgressMeter -      chr1H_0:5153576              9.8                 21490           2194.4
14:06:37.545 INFO  ProgressMeter -      chr1H_0:5177768             10.0                 21650           2169.4
14:06:50.794 INFO  ProgressMeter -      chr1H_0:5368751             10.2                 22380           2194.0
14:07:00.807 INFO  ProgressMeter -      chr1H_0:5510183             10.4                 23080           2226.2
14:07:16.853 INFO  ProgressMeter -      chr1H_0:5692660             10.6                 24010           2257.7
14:07:28.262 INFO  ProgressMeter -      chr1H_0:5711799             10.8                 24130           2229.1
14:07:38.284 INFO  ProgressMeter -      chr1H_0:5883764             11.0                 24810           2257.1
14:07:48.294 INFO  ProgressMeter -      chr1H_0:5940741             11.2                 25100           2249.3
14:07:58.319 INFO  ProgressMeter -      chr1H_0:6081476             11.3                 25730           2271.8
14:08:08.600 INFO  ProgressMeter -      chr1H_0:6156501             11.5                 26130           2272.7
14:08:18.651 INFO  ProgressMeter -      chr1H_0:6277006             11.7                 26620           2282.1
14:08:36.990 INFO  ProgressMeter -      chr1H_0:6283886             12.0                 26650           2226.3
14:08:54.402 INFO  ProgressMeter -      chr1H_0:6288412             12.3                 26670           2175.3
14:09:07.282 INFO  ProgressMeter -      chr1H_0:6686189             12.5                 28040           2247.6
14:09:18.845 INFO  ProgressMeter -      chr1H_0:6699511             12.7                 28110           2219.0
14:09:28.916 INFO  ProgressMeter -      chr1H_0:6749187             12.8                 28340           2207.9
14:09:39.483 INFO  ProgressMeter -      chr1H_0:6906265             13.0                 29110           2237.2
14:09:49.514 INFO  ProgressMeter -      chr1H_0:6970534             13.2                 29360           2227.8
14:10:05.127 INFO  ProgressMeter -      chr1H_0:6981953             13.4                 29420           2189.1
14:10:15.738 INFO  ProgressMeter -      chr1H_0:7632839             13.6                 31870           2340.6
14:10:25.793 INFO  ProgressMeter -      chr1H_0:7943967             13.8                 33300           2415.9
14:10:35.793 INFO  ProgressMeter -      chr1H_0:8406209             14.0                 35090           2515.3
14:10:49.068 INFO  ProgressMeter -      chr1H_0:8607347             14.2                 35920           2534.6
14:10:59.319 INFO  ProgressMeter -      chr1H_0:8696955             14.3                 36320           2532.3
14:11:10.966 INFO  ProgressMeter -      chr1H_0:8709285             14.5                 36390           2503.3
14:11:21.508 INFO  ProgressMeter -      chr1H_0:8917634             14.7                 37320           2536.6
14:11:31.520 INFO  ProgressMeter -      chr1H_0:8976115             14.9                 37680           2532.4
14:12:50.136 INFO  ProgressMeter -      chr1H_0:9113225             16.2                 38270           2363.9
14:13:11.609 INFO  ProgressMeter -      chr1H_0:9114227             16.5                 38280           2313.4
14:13:21.846 INFO  ProgressMeter -      chr1H_0:9116325             16.7                 38300           2290.9
14:13:31.933 INFO  ProgressMeter -      chr1H_0:9136059             16.9                 38380           2272.9
14:13:43.900 INFO  ProgressMeter -      chr1H_0:9146239             17.1                 38430           2249.3
14:14:19.532 INFO  ProgressMeter -      chr1H_0:9148480             17.7                 38440           2174.3
14:14:29.677 INFO  ProgressMeter -      chr1H_0:9328782             17.8                 39150           2193.5
14:14:39.681 INFO  ProgressMeter -      chr1H_0:9480208             18.0                 39940           2217.0
14:14:50.006 INFO  ProgressMeter -      chr1H_0:9586900             18.2                 40430           2223.0
14:15:00.719 INFO  ProgressMeter -      chr1H_0:9800151             18.4                 41360           2252.0
14:15:10.909 INFO  ProgressMeter -      chr1H_0:9873630             18.5                 41680           2248.6
14:15:22.798 INFO  ProgressMeter -      chr1H_0:9958151             18.7                 42100           2247.3
14:15:34.629 INFO  ProgressMeter -     chr1H_0:10198105             18.9                 43190           2281.4
14:15:45.301 INFO  ProgressMeter -     chr1H_0:10228705             19.1                 43410           2271.7
14:15:55.338 INFO  ProgressMeter -     chr1H_0:10330842             19.3                 43930           2279.0
14:16:05.348 INFO  ProgressMeter -     chr1H_0:10595009             19.4                 45090           2319.1
